24 HOUR VOLUME COUNT LOCATIONS,NB TOTAL,SB TOTAL,EB TOTAL, WB TOTOAL,TOTAL VOLUME,DATE,Lost time (l),Saturation headway(h),Green delay time (l+h.n)
"Berkman Dr, 5100 blk - South of Greenbrook Pkwy",4828,5085,,,9913,3/20/2013 0:00,4,2,19830
"Berkman Dr, 5100 blk - South of Greenbrook Pkwy",5293,5682,,,10975,7/24/2013 0:00,4,2,21954
"Berkman Dr, 5100 blk - South of Greenbrook Pkwy",6785,5966,,,12751,10/24/2013 0:00,4,2,25506
"Berkman Dr, 5500 blk - North of Corona Dr",5328,5370,,,10698,1/22/2014 0:00,4,2,21400
"Berkman Dr, 5500 blk - South of Larkwood Dr",3658,3983,,,7641,3/4/2010 0:00,4,2,15286
"Berkman Dr, 6300 blk - North of Glencrest Dr",5162,5944,,,11106,2/24/2010 0:00,4,2,22216
"Berkman Dr, 6300 blk - North of Glencrest Dr",5720,6387,,,12107,2/18/2009 0:00,4,2,24218
"Berkman Dr, 7200 blk - South of Coronado Hill Dr",3153,2097,,,5250,11/9/2004 0:00,4,2,10504
"Berthound Dr, 10500 blk - South of Barnhill Dr",130,134,,,264,12/6/2007 0:00,4,2,532
Berwyn Ln 2300 blk - North of Brookhill Dr,256,237,,,493,3/5/2012 0:00,4,2,990
"Bierce St, 70 blk - North of River St",142,159,,,301,2/4/2010 0:00,4,2,606
"Bilbrook Pl, 10100 - North of Sweetwater River Dr",2379,2472,,,4851,8/21/2001 0:00,4,2,9706
"Bilbrook Pl, 10300 blk - North of Isernia Dr",2235,2276,,,4511,8/21/2001 0:00,4,2,9026
"Bilbrook Pl, 10400 blk - South of Silcantu Dr",2168,2189,,,4357,8/21/2001 0:00,4,2,8718
"Bilbrook Pl, 9900 blk - North of St. Paul's Drwy",2672,2529,,,5201,2/12/2007 0:00,4,2,10406
"Bill Hughes Rd, 7000 blk - South of Mulberry Dr",201,320,,,521,9/19/2007 0:00,4,2,1046
"Billingham Trl, 9500 blk - South of Ennis Trl",400,438,,,838,7/7/2008 0:00,4,2,1680
"Billingham Trl, 9500 blk - South of Ennis Trl",432,454,,,886,11/1/2005 0:00,4,2,1776
"Bissell Ln, 1900 blk - West of Cannonleague Dr",,,213,120,333,9/6/2001 0:00,4,2,670
"Bitterccreek Dr, 1900 blk - West of Elm Creek Dr",,,388,827,1215,10/1/2012 0:00,4,2,2434
"Bittern Hollow, 11300 blk - North of Braker Ln",982,1120,,,2102,3/17/2003 0:00,4,2,4208
"Bittern Hollow, 11600 blk - North of Parkfield Dr",1130,884,,,2014,4/9/2003 0:00,4,2,4032
"Bittern Hollow, 11800 blk - South of Gracy Farms Ln",850,1025,,,1875,3/18/2003 0:00,4,2,3754
"Bittern Hollow, 12000 blk - East of Metric Blvd",,,1563,1395,2958,3/17/2003 0:00,4,2,5920
"Black Angus Dr, 12100 blk - South of Sage Hen Dr",281,341,,,622,10/7/2013 0:00,4,2,1248
"Black Angus Dr, 12100 blk - South of Sage Hen Dr",281,341,,,622,10/7/2013 0:00,4,2,1248
"Black Angus Rd, 12100 blk - South of Pony Chase",246,322,,,568,10/23/2002 0:00,4,2,1140
"Blanco St, 1000 blk, North of West 10th St",1229,1215,,,2444,5/4/2011 0:00,4,2,4892
"Blanton Dr, 5300 blk - North of Greenbrook Pkwy",151,154,,,305,10/9/2001 0:00,4,2,614
"Blarwood Dr, 6300 blk - North of Cockburn Dr",280,295,,,575,9/17/2007 0:00,4,2,1154
"Blessing Ave, 7100 blk - South of St. Johns Ave",276,288,,,564,3/29/2002 0:00,4,2,1132
"Blessing Ave, 7200 blk - North of St. Johns Ave",1473,1365,,,2838,3/29/2002 0:00,4,2,5680
"Blessing Ave, 7300 blk - North of Wilkes Ave",1483,2001,,,3484,10/6/2004 0:00,4,2,6972
"Blessing Ave, 7500 blk - South of Wheatley Ave",1046,1573,,,2619,10/6/2004 0:00,4,2,5242
"Blue Bird Ln, 5500 blk - North of W. Stassney Ln",159,130,,,289,11/6/2008 0:00,4,2,582
"Blue Lilly Dr, 7700 blk - West of Yaupon Dr",,,484,331,815,10/27/2003 0:00,4,2,1634
"Blue Meadow Dr, 2100 blk - West of Blue Dawn Trl",,,1744,1953,3697,10/11/2006 0:00,4,2,7398
"Blueberry Hill, 400 blk - West of Shadow Bend",,,158,126,284,2/1/2007 0:00,4,2,572
"Bluebonnet Ln, 1500 blk - South of Collier St",1456,1544,,,3000,7/17/2002 0:00,4,2,6004
"Bluebonnet Ln, 1800 blk - South of Ford St",1634,1554,,,3188,7/17/2002 0:00,4,2,6380
"Bluebonnet Ln, 2000blk - South of Heather St",1570,1684,,,3254,4/8/2002 0:00,4,2,6512
"Bluebonnet Ln, 2500 blk - East of S. Lamar Blvd",737,688,,,1425,10/8/2002 0:00,4,2,2854
"Bluegrass Dr, 8700 blk - South of Alata Cv",1436,1498,,,2934,5/19/2010 0:00,4,2,5872
"Bluegrass Dr, 9100 blk - North of Puccoon Cove",1336,1638,,,2974,4/16/2013 0:00,4,2,5952
"Bluegrass, 9100 blk - North of Puccoon Cove",1336,1638,,,2974,4/16/2013 0:00,4,2,5952
"Bluff Springs Rd, 6900 blk, North of Blue Meadow Dr",5698,5464,,,11162,12/6/2004 0:00,4,2,22328
"Bluff Springs Rd, 7300 blk, North of Quicksilver Blvd",3853,3890,,,7743,10/17/2006 0:00,4,2,15490
"Bluff Springs Rd, 7400 blk - at Quicksilver",4289,4599,,,8888,5/29/2013 0:00,4,2,17780
"Bluff Springs Rd, 7500 blk - At Quicksilver",4289,4599,,,8888,5/29/2013 0:00,4,2,17780
"Bluff Springs Rd, 8700 blk, South of Perkins Dr",1940,2337,,,4277,8/8/2006 0:00,4,2,8558
"Bolm Rd, 5400 blk - East of Walton Lane",,,3941,3058,6999,9/24/2013 0:00,4,2,14002
"Bolm Rd, 5400 blk - East of Walton Lane",,,3941,3058,6999,9/24/2013 0:00,4,2,14002
"Bonnie Rd, 3700 blk - West of Rockmoor Ave",,,129,73,202,11/3/2003 0:00,4,2,408
"Bordeaux Ln, 9700 blk - East of Vista View Dr",,,21,23,44,1/15/2003 0:00,4,2,92
"Boston Ln, 4500 blk, North of US 290 West",2340,1982,,,4322,3/31/2011 0:00,4,2,8648
"Boulder Ln, 10200 blk - West of RM 620",,,1932,1641,3573,10/15/2003 0:00,4,2,7150
"Boulder Ln, 10300 blk - South of Dona Villa Dr",3035,1509,,,4544,3/27/2013 0:00,4,2,9092
"Boulder Ln, 10300 blk - South of Dona Villa Dr",3035,1509,,,4544,3/27/2013 0:00,4,2,9092
"Boulder Ln, 10900 blk - North of Chestnut Ridge",2989,2801,,,5790,3/27/2013 0:00,4,2,11584
"Boulder Ln, 11000 blk - South of Crossland Dr",2633,2261,,,4894,9/16/2003 0:00,4,2,9792
"Boulder Ln, 11100 blk - North of Crossland Dr",2714,2253,,,4967,9/16/2003 0:00,4,2,9938
"Boulder Ln, 11400 blk - West of Sweet Basil Dr",,,3323,3614,6937,3/27/2013 0:00,4,2,13878
"Boulder Ln, 11600 blk - East of Foundation Rd",,,3223,3436,6659,1/4/2001 0:00,4,2,13322
"Boulder Ln, 11900 blk - North of Chestnut Ridge",2989,2801,,,5790,3/27/2013 0:00,4,2,11584
"Bowery Trail, 400 blk - West of Bowery Place",,,211,230,441,10/10/2013 0:00,4,2,886
"Bowery Trail, 400 blk - West of Bowery Place",,,221,230,451,10/10/2013 0:00,4,2,906
"Bowman Ave, 2800 blk - East of Hillview Dr",,,507,388,895,9/24/2002 0:00,4,2,1794
"Bowman Ave, 2900 blk - West of Hillview Dr",,,354,474,828,9/24/2002 0:00,4,2,1660
"Brackenridge St, 2100 - South of Leland",286,404,,,690,9/24/2013 0:00,4,2,1384
"Brackenridge St, 2100 blk - South of Leland ",286,404,,,690,9/24/2013 0:00,4,2,1384
"Bradbury Ln, 1100 blk - West of Dexford Dr",,,1047,1265,2312,7/24/2002 0:00,4,2,4628
"Bradbury Ln, 1400 blk - West of Serafy Court",,,654,848,1502,7/24/2002 0:00,4,2,3008
"Bradley Dr, 6600 blk - West of Willamette Dr",,,824,969,1793,4/24/2001 0:00,4,2,3590
"Bradner Dr, 9300 blk - North of the Dead end street",41,73,,,114,11/29/2007 0:00,4,2,232
"Bradwood Rd, 4200 blk - South of Ardenwood Rd",43,247,,,290,11/8/2004 0:00,4,2,584
"Braeswood Rd, 200 blk - West of Willow Springs Rd",,,91,81,172,2/16/2010 0:00,4,2,348
"Braker Lane East, 1600 blk - West of Musket Valley Trail",,,3905,4011,7916,9/16/2014 0:00,4,2,15836
"Braker Lane East, 2100 blk - East of Pionerr Farms Dr",,,762,776,1538,9/16/2014 0:00,4,2,3080
"Braker Ln East, 11600 blk - West of Musket Valley Trl",,,3567,2132,5699,10/28/2013 0:00,4,2,11402
"Braker Ln East, 500 blk - East of Oakwood Dr",,,13296,13592,26888,6/25/2002 0:00,4,2,53780
"Braker Ln West, 1700 blk - East of Metric Blvd",,,12923,13718,26641,9/9/2009 0:00,4,2,53286
"Braker Ln West, 200 blk - East of Hunters Ln",,,13074,13632,26706,6/25/2002 0:00,4,2,53416
"Braker Ln West, 2000 blk - West of Metric Blvd",,,12301,13455,25756,9/9/2009 0:00,4,2,51516
"Braker Ln West, 2300 blk - West of Kramer Ln",,,15803,16002,31805,9/9/2009 0:00,4,2,63614
"Bramble Dr, 500 blk - West of Cedardale Dr",,,475,616,1091,11/5/2008 0:00,4,2,2186
"Bramble Dr,300 blk - West of Breezewood Dr",,,423,554,977,10/1/2007 0:00,4,2,1958
"Bramble Dr,300 blk - West of Breezewood Dr",,,429,541,970,2/1/2007 0:00,4,2,1944
Brandt Ramp EB/WB at Slaughter Ln,,,1152,828,1980,10/3/2006 0:00,4,2,3964
"Brandt Rd, EB / WB ""street ramp"" that connects to Slaughter Ln",,,1056,534,1590,3/31/2005 0:00,4,2,3184
"Brandywine Circle (south), 9800 blk - East of Spicewood Club Dr",,,55,77,132,11/25/2002 0:00,4,2,268
"Brasher Dr, 9900 blk - South of Aftonshire Way",321,285,,,606,11/29/2007 0:00,4,2,1216
"Brassiewood Dr, 4800 blk - East of Softwood Dr",,,218,257,475,2/26/2013 0:00,4,2,954
"Brassiewood Dr, 4800 blk - East of Softwood Dr",,,218,257,475,2/26/2013 0:00,4,2,954
"Brazos St, 100 blk - North of Cesar Chavez St East",4971,1354,,,6325,3/3/2015 0:00,4,2,12654
"Brazos St, 200 blk - South of East 3rd St",5084,N/A,,,5084,10/14/2008 0:00,4,2,10172
"Breeze Terrace, 2900 blk - North of Manor Rd",199,121,,,320,3/29/2004 0:00,4,2,644
"Bremen St, 2000 blk - North of Horn Ln",101,92,,,193,1/16/2013 0:00,4,2,390
"Bremen St, 2000 blk - North of Horn Ln",101,92,,,193,1/16/2013 0:00,4,2,390
"Brentwood St, 1200 blk - West of Grover Avenue",,,468,546,1014,3/5/2014 0:00,4,2,2032
"Brentwood St, 1300 blk - West of Grover Ave",,,395,485,880,9/10/2007 0:00,4,2,1764
"Brentwood St, 1700 blk - West of Arroyo Seco",,,387,480,867,10/20/2003 0:00,4,2,1738
"Brentwood St, 1700 blk - West of Arroyo Seco",,,343,473,816,2/26/2003 0:00,4,2,1636
"Briarcliff Blvd, 1800 blk - South of Wheless Ln",,,824,969,1793,4/24/2001 0:00,4,2,3590
"Briargate Dr, 1100 blk - West of Fieldgate Dr",,,337,320,657,8/20/2008 0:00,4,2,1318
"Briarwood Ln, 8000 blk - North of Ashdale Dr",72,94,,,166,4/22/2013 0:00,4,2,336
"Briarwood Ln, 8000 blk - North of Ashdale Dr",72,94,,,166,4/22/2013 0:00,4,2,336
"Briarwood Ln, 8200 blk - North of Steck Ave",163,114,,,277,4/11/2007 0:00,4,2,558
"Briarwood Ln, 8300 blk - North of Penny Ln",131,93,,,224,5/20/2010 0:00,4,2,452
"Bridgeport Dr, 8700 blk - East of Connecticut Dr",,,131,93,224,5/17/2010 0:00,4,2,452
"Brigadoon Ln, 12000 blk - South of Cassady Dr",437,278,,,715,3/31/2004 0:00,4,2,1434
"Brightling Ln, 10100 blk - West of Pickfair Dr",,,199,195,394,11/20/2002 0:00,4,2,792
"Brinwood Ave, 2800 blk - North of Brewster St",362,291,,,653,4/1/2008 0:00,4,2,1310
"Brinwood Ave, 2900 blk - South of Brewster St",342,275,,,617,12/4/2007 0:00,4,2,1238
"Brisbane Rd, 2600 blk - East of Swindon Ln",,,195,295,490,9/10/2002 0:00,4,2,984
"Bristol Dr, 2100 blk - East of Haney Dr",,,82,88,170,4/24/2001 0:00,4,2,344
"Broadmoor Dr, 1400 blk - East of Belfast Place",,,801,513,1314,4/8/2003 0:00,4,2,2632
"Broadmoor Dr, 1400 blk - West of Belfast",,,700,447,1147,2/13/2012 0:00,4,2,2298
"Broadmoor Dr, 1500 blk - West of Avon Place",,,570,332,902,10/27/2014 0:00,4,2,1808
"Broadmoor Dr, 1500 blk - West of Belfast Dr",,,766,441,1207,4/8/2003 0:00,4,2,2418
"Broadmoor Dr, 1600 blk - West of Knight Cir",,,604,410,1014,3/3/2010 0:00,4,2,2032
"Brodie Ln, 10100 blk - North of Aspen Creek Pkwy",13169,12111,,,25280,5/20/2013 0:00,4,2,50564
"Brodie Ln, 10100 blk - North of Aspen Creek Pkwy",13169,12111,,,25280,5/20/2013 0:00,4,2,50564
"Brodie Ln, 10600 blk - North of Wyldwood Rd",13308,12307,,,25615,5/20/2013 0:00,4,2,51234
"Brodie Ln, 11800 blk - South of Twilight Trail",7771,7189,,,14960,9/11/2013 0:00,4,2,29924
"Brodie Ln, 12100 blk - North of Gatling Gun Ln",4790,5142,,,9932,2/17/2004 0:00,4,2,19868
"Brodie Ln, 12200 blk - South of Gatling Gun Ln",4331,4522,,,8853,2/17/2004 0:00,4,2,17710
"Brodie Ln, 12300 blk - North of FM 1626",3623,3482,,,7105,2/28/2001 0:00,4,2,14214
"Brodie Ln, 12600 blk - South of Bear Springs",4774,4835,,,9609,9/11/2013 0:00,4,2,19222
"Brodie Ln, 6900 blk - South of Wm Cannon",17582,19102,,,36684,7/1/2008 0:00,4,2,73372
"Brodie Ln, 8800 blk - North of Davis Ln",11060,11181,,,22241,5/1/2008 0:00,4,2,44486
"Brodie Ln, 9000 blk - South of Deer Ln",12868,11698,,,24566,5/1/2008 0:00,4,2,49136
"Brodie Ln, 9400 blk - South of Silk Oak Dr",11762,10622,,,22384,8/20/2007 0:00,4,2,44772
"Brodie Ln, 9400 blk - South of Silk Oak Dr",9758,9502,,,19260,8/26/2002 0:00,4,2,38524
"Brookfield Dr, 8500 blk - East of Beech Dr",,,97,94,191,5/24/2010 0:00,4,2,386
"Brookfield Dr, 8700 blk - South of Payton Gin Rd",260,239,,,499,5/18/2010 0:00,4,2,1002
"Brookside Dr, 6300 blk - North of Ashberry Dr",130,231,,,361,4/8/2010 0:00,4,2,726
"Brookview Rd, 3900 blk - South of East 40th St",26,44,,,70,3/30/2004 0:00,4,2,144
"Brookwood Rd, 11700 blk - North of Balcones Club Dr",551,132,,,683,1/7/2003 0:00,4,2,1370
"Brookwood Rd, 11800 blk - South of Brookwood Cove",224,116,,,340,2/5/2013 0:00,4,2,684
"Brookwood Rd, 11800 blk - South of Brookwood Cove",224,116,,,340,2/5/2013 0:00,4,2,684
"Brookwood Road, 11900 blk - South of Brookwood Cove",242,106,,,348,9/10/2012 0:00,4,2,700
"Brougham Way, 5700 blk - West of Drummond Dr",,,312,326,638,3/2/2010 0:00,4,2,1280
"Bruning Ave, 5100 blk, East of Evans St",,,108,70,178,10/19/2011 0:00,4,2,360
"Bruning Ave, 5200 - West of Eilers Ave",,,1192,1489,2681,6/4/2001 0:00,4,2,5366
"Brush Country Rd, 6100 blk - North of White Elm Dr",2747,1902,,,4649,8/18/2005 0:00,4,2,9302
"Brush Country Rd, 6100 blk - North of White Elm Dr",2375,1656,,,4031,8/9/2005 0:00,4,2,8066
"Brush Country Rd, 6100 blk - North of White Elm Dr",3052,2145,,,5197,5/1/2001 0:00,4,2,10398
"Brush Country Rd, 6400 blk - South of White Elm Dr",3457,2456,,,5913,5/1/2001 0:00,4,2,11830
"Brush Country Rd, 6500 blk - South of Yellow Rose Trl",3475,2565,,,6040,8/18/2005 0:00,4,2,12084
"Brush Country Rd, 6500 blk - South of Yellow Rose Trl",3139,2266,,,5405,8/9/2005 0:00,4,2,10814
"Buckingham Gate Rd, 12000 blk - North of Battle Bridge Rd",1047,1006,,,2053,4/5/2005 0:00,4,2,4110
"Buckingham Gate Rd, 12100 blk - South of Battle Brildge Rd",1013,909,,,1922,4/5/2005 0:00,4,2,3848
"Buckingham Gate Rd, 14000 blk - South of Gattling Gun Ln",937,1247,,,2184,10/9/2001 0:00,4,2,4372
"Buell Ave, 2400 blk - West of Burnet Rd",,,399,574,973,3/19/2007 0:00,4,2,1950
Buffalo Pass 5500 blk - North of W. Stassney Ln,421,450,,,871,9/17/2007 0:00,4,2,1746
"Bull Creek Rd, 3900 blk - North of W. 39th St",2398,1647,,,4045,3/7/2011 0:00,4,2,8094
"Bull Creek Rd, 4300 blk - South of West 47th St",4140,3433,,,7573,9/16/2013 0:00,4,2,15150
"Bull Creek Rd, 4500 blk - North of W. 45th St",2302,2176,,,4478,7/18/2001 0:00,4,2,8960
"Bull Creek Rd, 4600 blk, South of West 47th St",4140,3433,,,7573,9/12/2013 0:00,4,2,15150
"Bull Creek Rd, 4700 blk - North of Perry Ln",2449,2687,,,5136,4/4/2001 0:00,4,2,10276
"Bull Run, 5200 blk - West of Mustang Chase",,,189,170,359,8/23/2004 0:00,4,2,722
"Bull Run, 5300 blk - East of W. Cow Path",,,219,209,428,8/23/2004 0:00,4,2,860
"Bullard Dr, 2900 blk - East of Treadwell Blvd",,,606,597,1203,4/5/2002 0:00,4,2,2410
"Bullard Dr, 5800 blk - North of Clarice Ct",598,686,,,1284,10/25/2006 0:00,4,2,2572
"Bullard Dr, 6000 blk - North of Fairlane Dr",610,690,,,1300,10/25/2006 0:00,4,2,2604
"Bunny Run, 3900 blk - South of Cedar St",705,715,,,1420,6/26/2001 0:00,4,2,2844
"Bunny Run, 4300 blk - South of Live Oak Dr",433,418,,,851,6/26/2001 0:00,4,2,1706
"Burbank St, 1900 blk - East of Hardy Dr",,,114,73,187,5/20/2008 0:00,4,2,378
"Burleson Rd, 10000 blk - East of Emma Browning Ave",,,4692,5415,10107,1/22/2013 0:00,4,2,20218
"Burleson Rd, 10000 blk - East of Emma Browning Rd",,,4692,5415,10107,1/22/2013 0:00,4,2,20218
"Burleson Rd, 3000 blk - South of Metcalfe Rd",3972,3877,,,7849,11/2/2009 0:00,4,2,15702
"Burleson Rd, 8400 blk - East of Colton Rd",,,5263,5971,11234,1/22/2013 0:00,4,2,22472
"Burleson Rd, 8400 blk - East of Colton Rd",5263,5971,,,11234,1/22/2013 0:00,4,2,22472
"Burleson Rd, 8700 blk - East of US183",,,3197,3488,6685,12/26/2001 0:00,4,2,13374
"Burnet Ln, 6900 blk - North of Justin Ln",1812,1340,,,3152,11/14/2005 0:00,4,2,6308
"Burnet Rd, 4200 blk - North of W. 42nd St",227,386,,,613,5/29/2008 0:00,4,2,1230
"Burnet Rd, 4300 blk - South of W. 44th St",259,331,,,590,1/26/2009 0:00,4,2,1184
"Burnet Rd, 4300 blk - South of W. 44th St",324,401,,,725,4/14/2005 0:00,4,2,1454
"Burnet Rd, 4300 blk - South of W. 44th St",372,455,,,827,2/4/2003 0:00,4,2,1658
"Burnet Rd, 4400 blk - North of W. 44th St",204,409,,,613,1/26/2009 0:00,4,2,1230
"Burnet Rd, 4400 blk - North of W. 44th St",279,530,,,809,4/14/2005 0:00,4,2,1622
"Burnet Rd, 4700 blk - North of W. 47th St",8202,9250,,,17452,6/27/2005 0:00,4,2,34908
"Burnet Rd, 4700 blk - North of W. 47th St",9325,9994,,,19319,2/22/2005 0:00,4,2,38642
"Burnet Rd, 5400 blk - North of Houston St",N/A,12344,,,12344,7/6/2006 0:00,4,2,24692
"Burnet Rd, 5400 blk - South of Houston St",10923,N/A,,,10923,7/6/2006 0:00,4,2,21850
"Burnet Rd, 5400 blk - South of Shoalmont Dr",12074,12524,,,24598,2/22/2005 0:00,4,2,49200
"Burnet Rd, 6400 blk - North of White Horse Trail",12795,13936,,,26731,6/27/2005 0:00,4,2,53466
"Burnet Rd, 7700 blk - South of Anderson Ln",16275,15934,,,32209,5/9/2013 0:00,4,2,64422
"Burnet Rd, 7700 blk - South of Anderson Ln West",16275,15934,,,32209,5/8/2013 0:00,4,2,64422
"Burnet Rd, 8800 blk - South of Teakwood Dr",14996,15273,,,30269,1/23/2012 0:00,4,2,60542
"Burnet Rd, 9400 blk - North of US 183  (Research Blvd)",17563,16373,,,33936,1/19/2005 0:00,4,2,67876
"Burney Drive, 4200 blk - East of Endcliffe Drive",,,398,467,865,9/10/2012 0:00,4,2,1734
"Burrell Dr, 8000 blk - South of Wooten Dr",1619,1213,,,2832,2/25/2010 0:00,4,2,5668
"Burrell Dr, 8000 blk - South of Wooten Dr",1526,1091,,,2617,2/19/2009 0:00,4,2,5238
"Burrell Dr, 8300 blk - South of Villanova Dr",1279,1001,,,2280,3/2/2010 0:00,4,2,4564
"Cabana Lane, 12100 blk - North of Eton Lane",683,555,,,1238,4/1/2014 0:00,4,2,2480
"Caddo St West, 400 blk - West of Hornsby St",,,295,903,1198,3/2/2010 0:00,4,2,2400
"Caddo St West, 600 blk - West of Tedford St",,,266,897,1163,10/25/2005 0:00,4,2,2330
"Caddo St West, 700 blk - East of N Lamar Blvd",,,326,1095,1421,3/4/2010 0:00,4,2,2846
"Cahill, 8400 blk - West of Deer Falls Dr",,,843,612,1455,2/6/2013 0:00,4,2,2914
"Cahill, 8400 blk - West of Deer Falls Dr",,,790,545,1335,2/5/2013 0:00,4,2,2674
"Cahone Trail, 12300 blk - South of Boneta Trail",175,172,,,347,9/10/2012 0:00,4,2,698
"Callanish Park Dr, 10800 blk - South of Tweed Berwick Dr",94,83,,,177,12/17/2002 0:00,4,2,358
"Callanish Park Dr, 11100 blk - West of Evening Primrose ",,,100,130,230,12/19/2002 0:00,4,2,464
"Cameron Loop, 2700 blk - West of Dixon Dr",,,300,399,699,9/10/2002 0:00,4,2,1402
"Cameron Loop, 2900 blk - West of Gettysburg Dr",,,1629,1738,3367,9/10/2002 0:00,4,2,6738
"Cameron Rd, 5100 blk - North of East 51st St",8259,11213,,,19472,2/22/2010 0:00,4,2,38948
"Cameron Rd, 5300 blk - South of Broadmoor Dr",4967,9032,,,13999,6/5/2007 0:00,4,2,28002
"Cameron Rd, 5300 blk - South of Broadmoor Dr",9418,8931,,,18349,3/6/2003 0:00,4,2,36702
"Cameron Rd, 5400 blk - South of Corona Dr",6121,7774,,,13895,2/25/2015 0:00,4,2,27794
"Cameron Rd, 5400 blk, at Corona Dr",7023,9575,,,16598,6/2/2011 0:00,4,2,33200
"Cameron Rd, 5500 blk - North of Corona Dr",6310,9013,,,15323,1/22/2014 0:00,4,2,30650
"Cameron Rd, 5700 blk - North of Reinli St",7242,8766,,,16008,9/11/2006 0:00,4,2,32020
"Cameron Rd, 5700 blk - North of Reinli St",8753,8672,,,17425,3/6/2003 0:00,4,2,34854
"Cameron Rd, 5700 blk - South of Reinli St",6621,9247,,,15868,6/5/2007 0:00,4,2,31740
"Cameron Rd, 6100 blk - North of Hillcrest Dr",9120,9198,,,18318,3/6/2003 0:00,4,2,36640
"Cameron Rd, 6100 blk - South of Hillcrest Dr",6884,8713,,,15597,6/5/2007 0:00,4,2,31198
"Canion St, 500 blk - East of Guadalupe St",,,104,95,199,3/23/2010 0:00,4,2,402
"Cannonleague Dr, 6800 blk - North of Wm Cannon Dr",459,717,,,1176,8/15/2001 0:00,4,2,2356
"Canterbury St, 2200 blk - West of Mildred St",,,579,723,1302,1/26/2004 0:00,4,2,2608
"Canterbury St, 2300 blk - East of Mildred St",,,975,1007,1982,1/26/2004 0:00,4,2,3968
"Canterbury St, 2300 blk - East of Mildred St",,,1179,1298,2477,5/8/2001 0:00,4,2,4958
"Canterbury St, 2600 - East of San Saba St",,,1334,1250,2584,5/8/2001 0:00,4,2,5172
"Canyon Ridge Dr, 300 blk - West of McCallen Pass",,,6052,6319,12371,1/31/2007 0:00,4,2,24746
"Cardinal Ln, 800 blk - East of South 5th St",,,648,928,1576,9/1/2004 0:00,4,2,3156
"Cardinal Ln, 900 blk - West of South 5th St",,,952,709,1661,9/1/2004 0:00,4,2,3326
"Carnaron Ln, 2600 blk - South of Long Bow",407,522,,,929,3/5/2012 0:00,4,2,1862
"Carshalton Dr, 11800 blk - East of Doonesbury Dr",,,462,391,853,3/18/2003 0:00,4,2,1710
"Cary Dr, 6000 blk - South of White Horse Trl",145,99,,,244,4/28/2008 0:00,4,2,492
"Cary Dr, 6200 blk - South of White Rock Dr",107,98,,,205,4/28/2008 0:00,4,2,414
"Casey St, 1100 blk - East of Hank Ave",,,963,1269,2232,6/11/2008 0:00,4,2,4468
"Casey St, 1200 blk - West of Hank Ave",,,1123,1481,2604,3/1/2007 0:00,4,2,5212
"Casitas Dr, 10700 blk - North of Avery Ranch Blvd",186,251,,,437,4/19/2010 0:00,4,2,878
"Casitas Dr, 10900 blk - North of Avery Ranch Blvd",107,184,,,291,4/19/2010 0:00,4,2,586
"Casitas Dr, 10900 blk - North of Avery Ranch Blvd",113,310,,,423,9/19/2006 0:00,4,2,850
"Cassady Dr, 3700 Blk - West of Amherst Dr",,,1393,1352,2745,3/31/2004 0:00,4,2,5494
"Caswell Ave, 4800 blk - North of East 48th St",261,313,,,574,10/1/2013 0:00,4,2,1152
"Caswell Ave, 4800 blk - North of East 48th St",261,313,,,574,10/1/2013 0:00,4,2,1152
"Caswell Ave, 4800 blk - South of E. 49th St",190,273,,,463,5/22/2003 0:00,4,2,930
"Caswell Ave, 4900 blk - North of E. 49th St",321,391,,,712,5/22/2003 0:00,4,2,1428
"Caswell Ave, 4900 blk - North of E. 49th St",289,355,,,644,1/16/2001 0:00,4,2,1292
"Catalina Dr, 3300 blk - South of Granada Dr",329,348,,,677,11/5/2008 0:00,4,2,1358
"Cedar Ave, 1400 blk - South of East 16th St",451,501,,,952,2/26/2013 0:00,4,2,1908
"Cedar Ave, 1400 blk - South of East 16th St",,,451,501,952,2/26/2013 0:00,4,2,1908
"Cedar Avenue, 1700 blk - South of MLK Blvd",462,500,,,962,4/2/2007 0:00,4,2,1928
"Cedar Bend Dr, 2200 blk - East of Tyson Cove",,,2387,2100,4487,7/10/2008 0:00,4,2,8978
"Cedar Bend Dr, 2300 blk - East of Renfert Ln",,,2518,2222,4740,10/26/2010 0:00,4,2,9484
"Cedar Bend Dr, 2400 blk - West of Renfert Ln",,,4115,2801,6916,10/26/2010 0:00,4,2,13836
"Cedar Cliffe Dr, 11500 blk - East of Citrus Cove",,,96,115,211,1/6/2003 0:00,4,2,426
"Cedar Crest Dr, 9100 blk - West of Balcones Club Dr",,,1674,2640,4314,11/24/2003 0:00,4,2,8632
"Cedar Crest Dr, 9100 blk - West of Balcones Club Dr",,,1661,2696,4357,12/18/2002 0:00,4,2,8718
"Cedar Crest Dr, 9300 blk - East of 14th Tee",,,975,1335,2310,9/13/2010 0:00,4,2,4624
"Cedar Crest Dr, 9400 blk - East of Balcones Way",,,1135,3071,4206,12/18/2002 0:00,4,2,8416
"Cedar Crest Dr, 9400 blk - South of Balcones Way",1532,2041,,,3573,4/15/2014 0:00,4,2,7150
"Cedar Crest, 9300 blk - East of 14th Tee",,,973,1330,2303,9/10/2012 0:00,4,2,4610
"Cedar Forrest Dr, 9400 blk - North of Spring Hollow Dr",39,52,,,91,12/19/2002 0:00,4,2,186
